class,path,distance,scip_nodes,ml_nodes,degradation,scip_lps,ml_lps,scip_time,ml_time,scip_walltime,ml_walltime,scip_status,ml_status,scip_gap,ml_gap
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_073.lp,0.00433,65,211,3.246153846153846,257,413,6.89,7.52,7.591114958020626,7.463143665983807,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_074.lp,0.0023699999999999997,820,674,0.8219512195121951,1182,946,10.76,18.43,11.610743291996187,16.781515375012532,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_075.lp,0.0035499999999999998,166,218,1.3132530120481927,399,423,7.8,8.1,8.46599504200276,7.347210541978711,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_076.lp,0.0023699999999999997,33,101,3.0606060606060606,167,265,4.37,3.85,4.717398959008278,3.8834382090135477,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_077.lp,0.0035499999999999998,644,605,0.9394409937888198,990,1003,12.76,19.49,13.504091415990843,16.875304249988403,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_078.lp,0.00251,3,17,5.666666666666667,67,82,1.5,1.25,1.6479490000056103,1.314261332998285,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_079.lp,0.0034899999999999996,3,35,11.666666666666666,70,139,2.42,2.27,2.640359167009592,2.4745883750147186,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_080.lp,0.0029100000000000003,456,394,0.8640350877192983,731,781,10.51,13.03,11.503609499981394,11.681355542008532,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_081.lp,0.00505,3,13,4.333333333333333,75,86,1.35,1.31,1.433154791011475,1.3794401249906514,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_082.lp,0.00251,87,232,2.6666666666666665,315,404,5.89,7.31,6.27990491699893,6.901972166990163,optimal,optimal,0.0,0.0
